Gmina,Powiat,Województwo,Powierzchnia [km²],Liczba ludności [osoby],Gęstość zaludnienia [osoby/km²]
gmina Świedziebnia,brodnicki,kujawsko-pomorskie,"103,67",5171,50
gmina Świekatowo,świecki,kujawsko-pomorskie,"63,83",3580,56
Świeradów-Zdrój,lubański,dolnośląskie,"20,72",4240,205
gmina Świercze,pułtuski,mazowieckie,"93,37",4643,50
gmina Świerczów,namysłowski,opolskie,"110,35",3418,31
gmina Świerklaniec,tarnogórski,śląskie,"44,63",11 952,268
gmina Świerklany,rybnicki,śląskie,"24,17",12 271,508
gmina Świerzawa,złotoryjski,dolnośląskie,"159,99",7647,48
gmina Świerzno,kamieński,zachodniopomorskie,"140,13",4291,31
gmina Świeszyno,koszaliński,zachodniopomorskie,"132,56",6978,53
gmina Święciechowa,leszczyński,wielkopolskie,"134,94",7902,59
gmina Świętajno,olecki,warmińsko-mazurskie,"214,93",4022,19
gmina Świętajno,szczycieński,warmińsko-mazurskie,"279,55",5970,21
Świętochłowice,Świętochłowice,śląskie,"13,31",50 644,3805
gmina Świlcza,rzeszowski,podkarpackie,"108,18",15 872,147
gmina Świnice Warckie,łęczycki,łódzkie,"93,47",3972,42
gmina Świnna,żywiecki,śląskie,"39,18",8092,207
Świnoujście,Świnoujście,zachodniopomorskie,"197,23",41 115,208
gmina Tarczyn,piaseczyński,mazowieckie,"114,27",11 378,100
gmina Tarłów,opatowski,świętokrzyskie,"163,35",5303,32
gmina Tarnawatka,tomaszowski,lubelskie,"82,83",3956,48
Tarnobrzeg,Tarnobrzeg,podkarpackie,"85,4",47 595,557
gmina Tarnogród,biłgorajski,lubelskie,"114,25",6776,59
gmina Tarnowiec,jasielski,podkarpackie,"62,5",9180,147
gmina Tarnowo Podgórne,poznański,wielkopolskie,"101,75",25 456,250
Tarnowskie Góry,tarnogórski,śląskie,"83,72",61 229,731
Tarnów,Tarnów,małopolskie,"72,38",110 110,1521
gmina Tarnów,tarnowski,małopolskie,"82,72",25 709,311
gmina Tarnów Opolski,opolski,opolskie,"81,8",9573,117
gmina Tarnówka,złotowski,wielkopolskie,"132,45",3086,23
Tczew,tczewski,pomorskie,"22,38",60 276,2693
gmina Tczew,tczewski,pomorskie,"170,6",14 151,83
gmina Tczów,zwoleński,mazowieckie,"72,15",4924,68
gmina Telatyn,tomaszowski,lubelskie,"111,8",4090,37
gmina Teresin,sochaczewski,mazowieckie,"87,96",11 438,130
Terespol,bialski,lubelskie,"10,11",5659,560
gmina Terespol,bialski,lubelskie,"141,49",6807,48
gmina Tereszpol,biłgorajski,lubelskie,"144,01",3943,27
gmina Tłuchowo,lipnowski,kujawsko-pomorskie,"99,35",4656,47
gmina Tłuszcz,wołomiński,mazowieckie,"103,01",19 861,193
gmina Tokarnia,myślenicki,małopolskie,"68,63",8686,127
gmina Tolkmicko,elbląski,warmińsko-mazurskie,"208,01",6829,33
Tomaszów Lubelski,tomaszowski,lubelskie,"13,29",19 472,1465
gmina Tomaszów Lubelski,tomaszowski,lubelskie,"170,89",11 379,67
Tomaszów Mazowiecki,tomaszowski,łódzkie,"41,3",63 601,1540
gmina Tomaszów Mazowiecki,tomaszowski,łódzkie,"149,82",10 945,73
gmina Tomice,wadowicki,małopolskie,"41,53",8011,193
gmina Topólka,radziejowski,kujawsko-pomorskie,"102,88",4903,48
Toruń,Toruń,kujawsko-pomorskie,"115,72",202 521,1750
gmina Torzym,sulęciński,lubuskie,"375,2",6817,18
gmina Toszek,gliwicki,śląskie,"99,82",9428,94
gmina Trawniki,świdnicki,lubelskie,"84,16",9023,107
gmina Trąbki Wielkie,gdański,pomorskie,"162,58",11 006,68
gmina Trojanów,garwoliński,mazowieckie,"151,34",7413,49
gmina Troszyn,ostrołęcki,mazowieckie,"156,3",4868,31
gmina Tryńcza,przeworski,podkarpackie,"70,06",8436,120
gmina Trzciana,bocheński,małopolskie,"44,09",5494,125
gmina Trzcianka,czarnkowsko-trzcianecki,wielkopolskie,"373,98",24 376,65
gmina Trzcianne,moniecki,podlaskie,"331,87",4403,13
gmina Trzciel,międzyrzecki,lubuskie,"177,51",6545,37
gmina Trzcinica,kępiński,wielkopolskie,"75,04",4910,65
gmina Trzcińsko-Zdrój,gryfiński,zachodniopomorskie,"170,45",5436,32
gmina Trzebiatów,gryficki,zachodniopomorskie,"225,14",16 482,73
gmina Trzebiechów,zielonogórski,lubuskie,"80,96",3427,42
gmina Trzebiel,żarski,lubuskie,"166,35",5764,35
gmina Trzebielino,bytowski,pomorskie,"225,97",3713,16
gmina Trzebieszów,łukowski,lubelskie,"140,54",7437,53
gmina Trzebinia,chrzanowski,małopolskie,"105,4",34 180,324
gmina Trzebnica,trzebnicki,dolnośląskie,"199,96",24 061,120
gmina Trzebownisko,rzeszowski,podkarpackie,"90,28",21 177,235
gmina Trzemeszno,gnieźnieński,wielkopolskie,"175,3",14 341,82
gmina Trzeszczany,hrubieszowski,lubelskie,"90,29",4283,47
gmina Trzyciąż,olkuski,małopolskie,"95,73",7076,74
gmina Trzydnik Duży,kraśnicki,lubelskie,"104,11",6501,62
gmina Tuchola,tucholski,kujawsko-pomorskie,"239,66",20 401,85
gmina Tuchomie,bytowski,pomorskie,"110,2",4221,38
gmina Tuchów,tarnowski,małopolskie,"99,86",18 080,181
gmina Tuczępy,buski,świętokrzyskie,"83,62",3753,45
gmina Tuczna,bialski,lubelskie,"169,57",3130,18
gmina Tuczno,wałecki,zachodniopomorskie,"249,5",5025,20
gmina Tuliszków,turecki,wielkopolskie,"149,66",10 665,71
gmina Tułowice,opolski,opolskie,"81,25",5245,65
gmina Tuplice,żarski,lubuskie,"65,75",3138,48
gmina Turawa,opolski,opolskie,"172,1",9823,57
Turek,turecki,wielkopolskie,"16,17",27 480,1699
gmina Turek,turecki,wielkopolskie,"109,25",9568,88
gmina Turobin,biłgorajski,lubelskie,"162,19",6317,39
gmina Turośl,kolneński,podlaskie,"198,79",5145,26
gmina Turośń Kościelna,białostocki,podlaskie,"139,9",6134,44
gmina Tuszów Narodowy,mielecki,podkarpackie,"89,24",8122,91
gmina Tuszyn,łódzki wschodni,łódzkie,"129,9",12 273,94
gmina Twardogóra,oleśnicki,dolnośląskie,"167,86",13 084,78
gmina Tworóg,tarnogórski,śląskie,"125,2",8157,65
gmina Tychowo,białogardzki,zachodniopomorskie,"350,45",6864,20
Tychy,Tychy,śląskie,"81,81",128 351,1569
gmina Tyczyn,rzeszowski,podkarpackie,"59,02",11 748,199
gmina Tykocin,białostocki,podlaskie,"207,37",6306,30
gmina Tymbark,limanowski,małopolskie,"32,7",6518,199
gmina Tyrawa Wołoska,sanocki,podkarpackie,"69,25",1977,29
gmina Tyszowce,tomaszowski,lubelskie,"128,31",5716,45
gmina Uchanie,hrubieszowski,lubelskie,"120,63",4696,39
gmina Udanin,średzki,dolnośląskie,"110,89",5282,48
gmina Ujazd,tomaszowski,łódzkie,"96,95",7810,81
gmina Ujazd,strzelecki,opolskie,"83,31",6363,76
gmina Ujsoły,żywiecki,śląskie,"109,81",4557,41
gmina Ujście,pilski,wielkopolskie,"128,13",8007,62
gmina Ulan-Majorat,radzyński,lubelskie,"107,78",6037,56
gmina Ulanów,niżański,podkarpackie,"119,37",8385,70
gmina Ulhówek,tomaszowski,lubelskie,"146,63",4824,33
gmina Ułęż,rycki,lubelskie,"83,47",3178,38
gmina Uniejów,poddębicki,łódzkie,"129,01",7068,55
gmina Unisław,chełmiński,kujawsko-pomorskie,"72,55",6973,96
gmina Urszulin,włodawski,lubelskie,"172,14",4141,24
gmina Urzędów,kraśnicki,lubelskie,"118,54",8699,73
Ustka,słupski,pomorskie,"10,19",15 812,1552
gmina Ustka,słupski,pomorskie,"217,46",8384,39
gmina Ustronie Morskie,kołobrzeski,zachodniopomorskie,"56,98",3686,65
Ustroń,cieszyński,śląskie,"59,03",16 065,272
gmina Ustrzyki Dolne,bieszczadzki,podkarpackie,"478,67",17 498,37
gmina Uście Gorlickie,gorlicki,małopolskie,"287,8",6815,24
gmina Uścimów,lubartowski,lubelskie,"107,08",3284,31
gmina Wadowice,wadowicki,małopolskie,"112,83",38 041,337
gmina Wadowice Górne,mielecki,podkarpackie,"86,9",7653,88
gmina Waganiec,aleksandrowski,kujawsko-pomorskie,"54,52",4587,84
gmina Walce,krapkowicki,opolskie,"69,11",5531,80
gmina Walim,wałbrzyski,dolnośląskie,"79,14",5588,71
Wałbrzych,Wałbrzych,dolnośląskie,"84,7",114 568,1353
Wałcz,wałecki,zachodniopomorskie,"38,17",25 749,675
gmina Wałcz,wałecki,zachodniopomorskie,"574,91",12 683,22
gmina Wapno,wągrowiecki,wielkopolskie,"44,06",3012,68
gmina Warka,grójecki,mazowieckie,"202,27",19 239,95
gmina Warlubie,świecki,kujawsko-pomorskie,"201,11",6564,33
gmina Warnice,pyrzycki,zachodniopomorskie,"86,14",3494,41
Warszawa,Warszawa,mazowieckie,"517,24",1 753 977,3391
gmina Warta,sieradzki,łódzkie,"254,34",12 844,50
gmina Warta Bolesławiecka,bolesławiecki,dolnośląskie,"110,44",8593,78
gmina Wartkowice,poddębicki,łódzkie,"140,12",6255,45
gmina Wasilków,białostocki,podlaskie,"127,12",15 983,126
gmina Waśniów,ostrowiecki,świętokrzyskie,"111,62",6937,62
Wąbrzeźno,wąbrzeski,kujawsko-pomorskie,"8,53",13 802,1618
gmina Wąchock,starachowicki,świętokrzyskie,"81,84",6908,84
gmina Wądroże Wielkie,jaworski,dolnośląskie,"89,15",3986,45
Wągrowiec,wągrowiecki,wielkopolskie,"17,83",25 437,1427
gmina Wągrowiec,wągrowiecki,wielkopolskie,"347,85",12 172,35
gmina Wąpielsk,rypiński,kujawsko-pomorskie,"93,21",4054,43
gmina Wąsewo,ostrowski,mazowieckie,"119,49",4398,37
gmina Wąsosz,górowski,dolnośląskie,"197,11",7315,37
gmina Wąsosz,grajewski,podlaskie,"118,06",3759,32
gmina Wąwolnica,puławski,lubelskie,"62,85",4764,76
Wejherowo,wejherowski,pomorskie,"26,99",50 039,1854
gmina Wejherowo,wejherowski,pomorskie,"194,25",24 695,127
gmina Werbkowice,hrubieszowski,lubelskie,"187,15",9631,51
gmina Węgierska Górka,żywiecki,śląskie,"76,47",15 154,198
gmina Węgliniec,zgorzelecki,dolnośląskie,"338,34",8452,25
gmina Węgorzewo,węgorzewski,warmińsko-mazurskie,"341,47",17 056,50
gmina Węgorzyno,łobeski,zachodniopomorskie,"256,18",7105,28
Węgrów,węgrowski,mazowieckie,"35,51",12 771,360
gmina Wiązowna,otwocki,mazowieckie,"102,12",12 454,122
gmina Wiązownica,jarosławski,podkarpackie,"243,98",11 685,48
gmina Wiązów,strzeliński,dolnośląskie,"141,77",7326,52
gmina Wicko,lęborski,pomorskie,"215,29",6003,28
gmina Widawa,łaski,łódzkie,"178,31",7474,42
gmina Widuchowa,gryfiński,zachodniopomorskie,"209,45",5507,26
gmina Wieczfnia Kościelna,mławski,mazowieckie,"119,73",4166,35
gmina Wielbark,szczycieński,warmińsko-mazurskie,"347,95",6554,19
gmina Wieleń,czarnkowsko-trzcianecki,wielkopolskie,"430,09",12 583,29
gmina Wielgie,lipnowski,kujawsko-pomorskie,"133,68",6822,51
gmina Wielgomłyny,radomszczański,łódzkie,"123,15",4698,38
gmina Wielichowo,grodziski,wielkopolskie,"107,58",6818,63
gmina Wieliczka,wielicki,małopolskie,"99,67",57 478,577
gmina Wieliczki,olecki,warmińsko-mazurskie,"140,8",3391,24
gmina Wieliszew,legionowski,mazowieckie,"106,09",13 151,124
gmina Wielka Nieszawka,toruński,kujawsko-pomorskie,"216,22",5036,23
gmina Wielka Wieś,krakowski,małopolskie,"48,27",11 514,239
gmina Wielkie Oczy,lubaczowski,podkarpackie,"146,24",3865,26
gmina Wielopole Skrzyńskie,ropczycko-sędziszowski,podkarpackie,"93,48",8333,89
gmina Wielowieś,gliwicki,śląskie,"116,18",5881,51
gmina Wieluń,wieluński,łódzkie,"130,64",32 008,245
gmina Wieniawa,przysuski,mazowieckie,"103,97",5377,52
gmina Wieprz,wadowicki,małopolskie,"74,42",12 239,164
gmina Wieruszów,wieruszowski,łódzkie,"97,2",14 307,147
gmina Wierzbica,chełmski,lubelskie,"145,79",5208,36
gmina Wierzbica,radomski,mazowieckie,"94,1",9854,105
gmina Wierzbinek,koniński,wielkopolskie,"147,55",7457,51
gmina Wierzbno,węgrowski,mazowieckie,"103,2",2849,28
gmina Wierzchlas,wieluński,łódzkie,"118,95",6621,56
gmina Wierzchosławice,tarnowski,małopolskie,"75,15",10 778,143
gmina Wierzchowo,drawski,zachodniopomorskie,"229,19",4343,19
gmina Wietrzychowice,tarnowski,małopolskie,"48,4",3999,83
gmina Więcbork,sępoleński,kujawsko-pomorskie,"236,02",13 359,57
gmina Wijewo,leszczyński,wielkopolskie,"61,84",3809,62
gmina Wilamowice,bielski,śląskie,"57,34",17 150,299
gmina Wilczęta,braniewski,warmińsko-mazurskie,"147,85",3072,21
gmina Wilczyce,sandomierski,świętokrzyskie,"69,56",3788,54
gmina Wilczyn,koniński,wielkopolskie,"83,2",6254,75
gmina Wilga,garwoliński,mazowieckie,"118,4",5341,45
gmina Wilkołaz,kraśnicki,lubelskie,"81,7",5543,68
gmina Wilkowice,bielski,śląskie,"34,4",13 297,387
gmina Wilków,opolski,lubelskie,"77,94",4506,58
gmina Wilków,namysłowski,opolskie,"100,74",4475,44
gmina Winnica,pułtuski,mazowieckie,"115,04",4090,36
gmina Wińsko,wołowski,dolnośląskie,"249,46",8386,34
gmina Wiskitki,żyrardowski,mazowieckie,"150,15",9875,66
Wisła,cieszyński,śląskie,"110,17",11 048,100
gmina Wisznia Mała,trzebnicki,dolnośląskie,"103,36",10 067,97
gmina Wisznice,bialski,lubelskie,"173,2",5047,29
gmina Wiślica,buski,świętokrzyskie,"100,32",5563,55
gmina Wiśniew,siedlecki,mazowieckie,126,5788,46
gmina Wiśniewo,mławski,mazowieckie,"99,28",5390,54
gmina Wiśniowa,myślenicki,małopolskie,"67,1",7304,109
gmina Wiśniowa,strzyżowski,podkarpackie,"83,38",8184,98
gmina Witkowo,gnieźnieński,wielkopolskie,"184,6",13 687,74
gmina Witnica,gorzowski,lubuskie,"278,68",12 998,47
gmina Witonia,łęczycki,łódzkie,"60,45",3322,55
gmina Wizna,łomżyński,podlaskie,"133,38",4126,31
gmina Wiżajny,suwalski,podlaskie,"111,9",2398,21
gmina Wleń,lwówecki,dolnośląskie,"86,06",4372,51
Władysławowo,pucki,pomorskie,"39,22",15 451,394
gmina Władysławów,turecki,wielkopolskie,"90,72",8186,90
Włocławek,Włocławek,kujawsko-pomorskie,"84,32",112 483,1334
gmina Włocławek,włocławski,kujawsko-pomorskie,"220,62",7119,32
Włodawa,włodawski,lubelskie,"17,97",13 415,747
gmina Włodawa,włodawski,lubelskie,"245,03",6094,25
gmina Włodowice,zawierciański,śląskie,"76,79",5237,68
gmina Włoszakowice,leszczyński,wielkopolskie,"127,75",9411,74
gmina Włoszczowa,włoszczowski,świętokrzyskie,"254,61",19 643,77
gmina Wodynie,siedlecki,mazowieckie,"115,4",4450,39
gmina Wodzierady,łaski,łódzkie,"82,3",3369,41
gmina Wodzisław,jędrzejowski,świętokrzyskie,"176,89",7136,40
Wodzisław Śląski,wodzisławski,śląskie,"49,51",48 573,981
gmina Wohyń,radzyński,lubelskie,"178,17",6844,38
gmina Wojaszówka,krośnieński,podkarpackie,"83,37",9263,111
gmina Wojciechowice,opatowski,świętokrzyskie,"86,46",4112,48
gmina Wojciechów,lubelski,lubelskie,"80,79",5991,74
gmina Wojcieszków,łukowski,lubelskie,"108,91",7014,64
Wojcieszów,złotoryjski,dolnośląskie,"32,17",3742,116
Wojkowice,będziński,śląskie,"12,79",9070,709
gmina Wojnicz,tarnowski,małopolskie,"79,31",13 436,169
gmina Wojsławice,chełmski,lubelskie,"110,46",3884,35
gmina Wola Krzysztoporska,piotrkowski,łódzkie,"170,75",11 909,70
gmina Wola Mysłowska,łukowski,lubelskie,"121,07",4768,39
gmina Wola Uhruska,włodawski,lubelskie,"154,07",3947,26
gmina Wolanów,radomski,mazowieckie,"82,9",8829,107
gmina Wolbórz,piotrkowski,łódzkie,"151,66",7745,51
gmina Wolbrom,olkuski,małopolskie,"146,78",23 111,157
gmina Wolin,kamieński,zachodniopomorskie,"327,46",12 248,37
gmina Wolsztyn,wolsztyński,wielkopolskie,"249,95",30 526,122
gmina Wołczyn,kluczborski,opolskie,"240,97",13 785,57
gmina Wołomin,wołomiński,mazowieckie,"61,66",51 774,840
gmina Wołów,wołowski,dolnośląskie,"331,1",22 692,69
gmina Woźniki,lubliniecki,śląskie,"127,62",9644,76
gmina Wólka,lubelski,lubelskie,"72,76",11 795,162
gmina Wręczyca Wielka,kłobucki,śląskie,"148,28",17 711,119
Wrocław,Wrocław,dolnośląskie,"292,82",637 683,2178
gmina Wronki,szamotulski,wielkopolskie,"301,72",19 045,63
gmina Wróblew,sieradzki,łódzkie,"112,9",6139,54
gmina Września,wrzesiński,wielkopolskie,"221,85",46 072,208
gmina Wschowa,wschowski,lubuskie,"197,46",21 496,109
gmina Wydminy,giżycki,warmińsko-mazurskie,"232,99",6407,27
gmina Wymiarki,żagański,lubuskie,"63,09",2334,37
gmina Wyry,mikołowski,śląskie,"34,62",7972,230
gmina Wyryki,włodawski,lubelskie,"219,98",2635,12
gmina Wyrzysk,pilski,wielkopolskie,"159,05",14 080,89
gmina Wysoka,pilski,wielkopolskie,"122,99",6729,55
gmina Wysokie,lubelski,lubelskie,"113,9",4588,40
Wysokie Mazowieckie,wysokomazowiecki,podlaskie,"15,24",9415,618
gmina Wysokie Mazowieckie,wysokomazowiecki,podlaskie,"166,48",5397,32
gmina Wyszki,bielski,podlaskie,"206,2",4503,22
gmina Wyszków,wyszkowski,mazowieckie,"165,18",39 324,238
gmina Wyszogród,płocki,mazowieckie,"95,65",5671,59
gmina Wyśmierzyce,białobrzeski,mazowieckie,"105,79",2819,27
gmina Zabierzów,krakowski,małopolskie,"99,42",25 815,260
gmina Zabłudów,białostocki,podlaskie,"339,74",9219,27
gmina Zabór,zielonogórski,lubuskie,"93,38",4135,44
gmina Zabrodzie,wyszkowski,mazowieckie,92,5854,64
Zabrze,Zabrze,śląskie,"80,4",175 459,2182
gmina Zadzim,poddębicki,łódzkie,"145,13",5032,35
gmina Zagnańsk,kielecki,świętokrzyskie,"124,87",12 980,104
gmina Zagórów,słupecki,wielkopolskie,"159,71",9062,57
gmina Zagórz,sanocki,podkarpackie,"159,89",13 066,82
gmina Zagrodno,złotoryjski,dolnośląskie,"122,34",5391,44
gmina Zakliczyn,tarnowski,małopolskie,"122,06",12 443,102
gmina Zaklików,stalowowolski,podkarpackie,"202,13",8642,43
Zakopane,tatrzański,małopolskie,"84,26",27 305,324
gmina Zakroczym,nowodworski,mazowieckie,"71,7",6124,85
gmina Zakrzew,lubelski,lubelskie,"75,42",2935,39
gmina Zakrzew,radomski,mazowieckie,"96,3",12 797,133
gmina Zakrzewo,aleksandrowski,kujawsko-pomorskie,"75,96",3543,47
gmina Zakrzewo,złotowski,wielkopolskie,"162,39",4933,30
gmina Zakrzówek,kraśnicki,lubelskie,"99,17",6580,66
gmina Zalesie,bialski,lubelskie,"147,11",4452,30
gmina Zaleszany,stalowowolski,podkarpackie,"87,17",10 877,125
gmina Zalewo,iławski,warmińsko-mazurskie,"253,93",6903,27
gmina Załuski,płoński,mazowieckie,"108,48",5710,53
Zambrów,zambrowski,podlaskie,"19,02",22 196,1167
gmina Zambrów,zambrowski,podlaskie,"299,4",8967,30
Zamość,zamojski,lubelskie,"30,34",64 648,2131
gmina Zamość,Zamość,lubelskie,"196,11",22 774,116
gmina Zaniemyśl,średzki,wielkopolskie,"106,55",6813,64
gmina Zapolice,zduńskowolski,łódzkie,"81,41",5100,63
gmina Zaręby Kościelne,ostrowski,mazowieckie,"88,73",3756,42
gmina Zarszyn,sanocki,podkarpackie,"105,4",9371,89
gmina Zarzecze,przeworski,podkarpackie,"49,18",7237,147
gmina Zator,oświęcimski,małopolskie,"51,63",9325,181
gmina Zatory,pułtuski,mazowieckie,"120,12",4830,40
gmina Zawady,białostocki,podlaskie,"112,14",2807,25
gmina Zawadzkie,strzelecki,opolskie,"82,14",11 544,141
gmina Zawichost,sandomierski,świętokrzyskie,"80,3",4575,57
Zawidów,zgorzelecki,dolnośląskie,"6,07",4258,701
gmina Zawidz,sierpecki,mazowieckie,"185,83",6808,37
Zawiercie,zawierciański,śląskie,"85,25",50 274,590
gmina Zawoja,suski,małopolskie,"128,78",9091,71
gmina Zawonia,trzebnicki,dolnośląskie,"117,45",5874,50
Ząbki,wołomiński,mazowieckie,"10,98",34 784,3168
gmina Ząbkowice Śląskie,ząbkowicki,dolnośląskie,"146,13",22 187,152
gmina Zbąszynek,świebodziński,lubuskie,"94,08",8360,89
gmina Zbąszyń,nowotomyski,wielkopolskie,"179,99",13 666,76
gmina Zbiczno,brodnicki,kujawsko-pomorskie,"133,77",4799,36
gmina Zblewo,starogardzki,pomorskie,"137,79",11 550,84
gmina Zbójna,łomżyński,podlaskie,"185,8",4235,23
gmina Zbójno,golubsko-dobrzyński,kujawsko-pomorskie,"84,32",4359,52
gmina Zbrosławice,tarnogórski,śląskie,"148,36",15 886,107
gmina Zbuczyn,siedlecki,mazowieckie,"210,75",10 121,48
gmina Zduny,łowicki,łódzkie,"128,57",5809,45
gmina Zduny,krotoszyński,wielkopolskie,"84,87",7508,88
Zduńska Wola,zduńskowolski,łódzkie,"24,57",42 698,1738
gmina Zduńska Wola,zduńskowolski,łódzkie,"111,61",12 072,108
gmina Zdzieszowice,krapkowicki,opolskie,"57,44",15 914,277
gmina Zebrzydowice,cieszyński,śląskie,"41,42",13 190,318
gmina Zelów,bełchatowski,łódzkie,"167,09",15 042,90
gmina Zembrzyce,suski,małopolskie,"39,2",5608,143
gmina Zębowice,oleski,opolskie,"95,65",3683,39
Zgierz,zgierski,łódzkie,"42,33",56 929,1345
gmina Zgierz,zgierski,łódzkie,"199,05",13 743,69
Zgorzelec,zgorzelecki,dolnośląskie,"15,88",31 089,1958
gmina Zgorzelec,zgorzelecki,dolnośląskie,"137,15",8406,61
Zielona Góra,Zielona Góra,lubuskie,"278,32",139 330,501
Zielonka,wołomiński,mazowieckie,"79,48",17 499,220
gmina Zielonki,krakowski,małopolskie,"48,58",21 774,448
gmina Ziębice,ząbkowicki,dolnośląskie,"222,28",17 461,79
gmina Zławieś Wielka,toruński,kujawsko-pomorskie,"177,91",13 699,77
gmina Złocieniec,drawski,zachodniopomorskie,"194,91",15 399,79
gmina Złoczew,sieradzki,łódzkie,"117,26",7222,62
gmina Złota,pińczowski,świętokrzyskie,"82,01",4519,55
gmina Złotniki Kujawskie,inowrocławski,kujawsko-pomorskie,"135,53",9196,68
Złotoryja,złotoryjski,dolnośląskie,"11,51",15 873,1379
gmina Złotoryja,złotoryjski,dolnośląskie,"144,95",7091,49
Złotów,złotowski,wielkopolskie,"11,58",18 482,1596
gmina Złotów,złotowski,wielkopolskie,"292,28",9801,34
gmina Złoty Stok,ząbkowicki,dolnośląskie,"75,27",4623,61
gmina Zwierzyn,strzelecko-drezdenecki,lubuskie,"100,13",4387,44
gmina Zwierzyniec,zamojski,lubelskie,"153,55",6901,45
gmina Zwoleń,zwoleński,mazowieckie,"162,14",15 271,94
gmina Żabia Wola,grodziski,mazowieckie,"105,43",8405,80
gmina Żabno,tarnowski,małopolskie,"101,56",19 036,187
Żagań,żagański,lubuskie,"40,38",26 188,649
gmina Żagań,żagański,lubuskie,"280,69",7295,26
gmina Żarki,myszkowski,śląskie,101,8462,84
gmina Żarnowiec,zawierciański,śląskie,"124,8",4704,38
gmina Żarnów,łódzki wschodni,łódzkie,"141,06",6024,43
gmina Żarów,świdnicki,dolnośląskie,"87,84",12 565,143
Żary,żarski,lubuskie,"33,49",38 048,1136
gmina Żary,żarski,lubuskie,"293,62",12 391,42
gmina Żegocina,bocheński,małopolskie,"34,89",5444,156
gmina Żelazków,kaliski,wielkopolskie,"113,67",9421,83
gmina Żelechlinek,tomaszowski,łódzkie,"92,35",3361,36
gmina Żelechów,garwoliński,mazowieckie,"87,49",8386,96
gmina Żerków,jarociński,wielkopolskie,"170,15",10 386,61
gmina Żmigród,trzebnicki,dolnośląskie,"291,77",14 720,50
gmina Żmudź,chełmski,lubelskie,"136,07",3169,23
gmina Żnin,żniński,kujawsko-pomorskie,"251,47",24 378,97
gmina Żołynia,łańcucki,podkarpackie,"56,71",6964,123
Żory,Żory,śląskie,"64,64",62 013,959
gmina Żółkiewka,krasnostawski,lubelskie,"129,68",5566,43
gmina Żórawina,wrocławski,dolnośląskie,"120,27",10 301,86
gmina Żukowice,głogowski,dolnośląskie,"68,26",3498,51
gmina Żukowo,kartuski,pomorskie,"164,04",35 671,217
gmina Żurawica,przemyski,podkarpackie,"95,79",12 872,134
gmina Żuromin,żuromiński,mazowieckie,"132,92",14 588,110
gmina Żychlin,kutnowski,łódzkie,"76,64",12 190,159
gmina Żyraków,dębicki,podkarpackie,"110,38",13 876,126
Żyrardów,żyrardowski,mazowieckie,"14,35",40 504,2823
gmina Żyrzyn,puławski,lubelskie,"129,2",6506,50
gmina Żytno,radomszczański,łódzkie,"197,61",5242,27
Żywiec,żywiecki,śląskie,"50,54",31 662,626
